TIG_PostNL2014::Enabled,Geactiveerd
"TIG_PostNL2014::Besides assigning weights to all products, you can also specify a volume of each product.","Om deze functie optimaal te gebruiken, stel je eerst het gewicht of volume in van jouw producten."
TIG_PostNL2014::Mailbox fee,Brievenbuspakje prijs
TIG_PostNL2014::Enter a basic price for a mailbox. The regular price will not affect this price.,Vul een totaalprijs in voor een brievenbuspakje.
TIG_PostNL2014::Automate mailbox package,Brievenbuspakje automatiseren
"TIG_PostNL2014::PostNL location will not be visible if the subtotal of an order is below this value","'Ophalen op een PostNL locatie' zal niet zichtbaar zijn als het bedrag van een bestelling onder deze waarde valt"

TIG_PostNL2014::PostNL location:,PostNL locatie:
TIG_PostNL2014::deliver:,bezorgen:
TIG_PostNL2014::TYPE_night,Avondlevering
TIG_PostNL2014::TYPE_morning,Ochtendlevering
TIG_PostNL2014::TYPE_standard,Middaglevering
TIG_PostNL2014::TYPE_retailexpress,Extra vroeg ophalen
